Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BrainGreyMatter   ,   4.6000e+8,   7.6267e-1,   5.6397e+1,   5.2846e-1,   8.4073e-2,   5.3958e-2,
BrainGreyMatter   ,   4.7000e+8,   7.6680e-1,   5.6247e+1,   5.2139e-1,   8.2457e-2,   5.3556e-2,
BrainGreyMatter   ,   4.8000e+8,   7.7090e-1,   5.6104e+1,   5.1457e-1,   8.0902e-2,   5.3164e-2,
BrainGreyMatter   ,   4.9000e+8,   7.7499e-1,   5.5966e+1,   5.0800e-1,   7.9404e-2,   5.2781e-2,
BrainGreyMatter   ,   5.0000e+8,   7.7907e-1,   5.5833e+1,   5.0165e-1,   7.7961e-2,   5.2407e-2,
BrainGreyMatter   ,   5.1000e+8,   7.8313e-1,   5.5704e+1,   4.9552e-1,   7.6570e-2,   5.2041e-2,
BrainGreyMatter   ,   5.2000e+8,   7.8719e-1,   5.5580e+1,   4.8959e-1,   7.5228e-2,   5.1683e-2,
BrainGreyMatter   ,   5.3000e+8,   7.9123e-1,   5.5461e+1,   4.8386e-1,   7.3932e-2,   5.1333e-2,
BrainGreyMatter   ,   5.4000e+8,   7.9527e-1,   5.5345e+1,   4.7833e-1,   7.2680e-2,   5.0990e-2,
BrainGreyMatter   ,   5.5000e+8,   7.9930e-1,   5.5233e+1,   4.7296e-1,   7.1470e-2,   5.0654e-2,
BrainGreyMatter   ,   5.6000e+8,   8.0333e-1,   5.5125e+1,   4.6778e-1,   7.0299e-2,   5.0325e-2,
BrainGreyMatter   ,   5.7000e+8,   8.0735e-1,   5.5020e+1,   4.6275e-1,   6.9167e-2,   5.0001e-2,
BrainGreyMatter   ,   5.8000e+8,   8.1136e-1,   5.4918e+1,   4.5788e-1,   6.8070e-2,   4.9683e-2,
BrainGreyMatter   ,   5.9000e+8,   8.1538e-1,   5.4819e+1,   4.5316e-1,   6.7008e-2,   4.9371e-2,
BrainGreyMatter   ,   6.0000e+8,   8.1939e-1,   5.4724e+1,   4.4859e-1,   6.5978e-2,   4.9064e-2,
BrainGreyMatter   ,   6.1000e+8,   8.2341e-1,   5.4631e+1,   4.4415e-1,   6.4980e-2,   4.8763e-2,
BrainGreyMatter   ,   6.2000e+8,   8.2742e-1,   5.4540e+1,   4.3984e-1,   6.4011e-2,   4.8466e-2,
BrainGreyMatter   ,   6.3000e+8,   8.3143e-1,   5.4452e+1,   4.3566e-1,   6.3071e-2,   4.8174e-2,
BrainGreyMatter   ,   6.4000e+8,   8.3545e-1,   5.4367e+1,   4.3161e-1,   6.2159e-2,   4.7886e-2,
BrainGreyMatter   ,   6.5000e+8,   8.3947e-1,   5.4284e+1,   4.2766e-1,   6.1272e-2,   4.7603e-2,
BrainGreyMatter   ,   6.6000e+8,   8.4349e-1,   5.4203e+1,   4.2383e-1,   6.0411e-2,   4.7323e-2,
BrainGreyMatter   ,   6.7000e+8,   8.4752e-1,   5.4124e+1,   4.2011e-1,   5.9573e-2,   4.7048e-2,
BrainGreyMatter   ,   6.8000e+8,   8.5155e-1,   5.4047e+1,   4.1650e-1,   5.8758e-2,   4.6776e-2,
